species,best_clustering
antarctic_fur_seal,1
guadalupe_fur_seal,1
subantarctic_fur_seal,2
galapagos_fur_seal,1
stellers_sea_lion,2
grey_seal_orkneys,1
harbour_seal_waddensee,2
galapagos_sea_lion,1
south_american_fur_seal,2
hooded_seal,1
mediterranean_monk_seal,1
hawaiian_monk_seal,1
bearded_seal,2
crabeater_seal,1
leopard_seal,1
arctic_ringed_seal,1
ross_seal,1
weddell_seal,3
northern_fur_seal,2
atlantic_walrus,2
nes,2
ses,4
california_sea_lion,1
south_american_sea_lion,1
new_zealand_sea_lion,1
saimaa_ringed_seal,2
lagoda_ringed_seal,2
baltic_ringed_seal,1
new_zealand_fur_seal,1
australian_fur_seal,1
